2010-12-03 08:14:35.79 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Desktop Engine on Windows NT 5.1 (Build 2600: Service Pack 3)

2010-12-03 08:14:35.89 server    Copyright (C) 1988-2002 Microsoft Corporation.
2010-12-03 08:14:35.89 server    保留所有权利。
2010-12-03 08:14:35.90 server    服务器进程 ID 是 1872。
2010-12-03 08:14:35.90 server    将 SQL Server 消息记录在文件“E:\PB源码\pb9\通用进~1\川北机电\sql2000\Log\SQL日志.Log”中。
2010-12-03 08:14:36.14 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2010-12-03 08:14:36.95 server    已为 thread 模式处理而配置了 SQL Server。
2010-12-03 08:14:37.12 server    使用 dynamic 锁分配。[500] 锁块，[1000] 锁所有者块。
2010-12-03 08:14:38.70 spid3     启动数据库“master”。
2010-12-03 08:14:42.26 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2010-12-03 08:14:42.29 spid5     启动数据库“model”。
2010-12-03 08:14:42.37 spid3     服务器名称是“XP-201007150744\MYSQL”。
2010-12-03 08:14:42.37 spid3     Skipping startup of clean database id 4
2010-12-03 08:14:42.39 spid3     Skipping startup of clean database id 5
2010-12-03 08:14:42.39 spid3     Skipping startup of clean database id 6
2010-12-03 08:14:42.40 spid3     Skipping startup of clean database id 7
2010-12-03 08:14:42.40 spid3     Skipping startup of clean database id 8
2010-12-03 08:14:42.57 server    SQL Server 正在监听 192.168.1.5: 7788。
2010-12-03 08:14:42.59 server    SQL Server 正在监听 127.0.0.1: 7788。
2010-12-03 08:14:42.82 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2010-12-03 08:14:42.84 server    SQL Server 已准备好进行客户端连接
2010-12-03 08:14:43.14 spid5     清除 tempdb 数据库。
2010-12-03 08:14:52.68 spid5     启动数据库“tempdb”。
2010-12-03 08:14:55.51 spid3     恢复完成。
2010-12-03 09:37:46.98 spid55    启动数据库“lxjxc”。
2010-12-03 15:23:07.87 spid54    服务器已按要求关闭。
