2010-12-04 13:01:03.15 server    Microsoft SQL Server  2000 - 8.00.2039 (Intel X86) 
	May  3 2005 23:18:38 
	Copyright (c) 1988-2003 Microsoft Corporation
	Desktop Engine on Windows NT 5.1 (Build 2600: Service Pack 3)

2010-12-04 13:01:03.31 server    Copyright (C) 1988-2002 Microsoft Corporation.
2010-12-04 13:01:03.31 server    保留所有权利。
2010-12-04 13:01:03.31 server    服务器进程 ID 是 1872。
2010-12-04 13:01:03.31 server    将 SQL Server 消息记录在文件“E:\PB源码\pb9\通用进~1\川北机电\sql2000\Log\SQL日志.Log”中。
2010-12-04 13:01:03.68 server    SQL Server 正在以优先级“normal”（已检测到 1 CPU）启动。
2010-12-04 13:01:05.04 server    已为 thread 模式处理而配置了 SQL Server。
2010-12-04 13:01:05.25 server    使用 dynamic 锁分配。[500] 锁块，[1000] 锁所有者块。
2010-12-04 13:01:07.07 spid3     启动数据库“master”。
2010-12-04 13:01:10.85 server    正在使用“SSNETLIB.DLL”版本“8.0.2039”。
2010-12-04 13:01:10.90 spid5     启动数据库“model”。
2010-12-04 13:01:10.98 spid3     服务器名称是“XP-201007150744\MYSQL”。
2010-12-04 13:01:10.99 spid3     Skipping startup of clean database id 4
2010-12-04 13:01:10.99 spid3     Skipping startup of clean database id 5
2010-12-04 13:01:11.01 spid3     Skipping startup of clean database id 6
2010-12-04 13:01:11.01 spid3     Skipping startup of clean database id 7
2010-12-04 13:01:11.03 spid3     Skipping startup of clean database id 8
2010-12-04 13:01:11.40 server    SQL Server 正在监听 192.168.1.5: 7788。
2010-12-04 13:01:11.42 server    SQL Server 正在监听 127.0.0.1: 7788。
2010-12-04 13:01:11.70 server    SQL Server 正在监听 TCP, Shared Memory, Named Pipes。
2010-12-04 13:01:11.73 server    SQL Server 已准备好进行客户端连接
2010-12-04 13:01:12.75 spid5     清除 tempdb 数据库。
2010-12-04 13:01:22.45 spid5     启动数据库“tempdb”。
2010-12-04 13:01:23.84 spid3     恢复完成。
2010-12-04 13:02:04.37 server    由于系统关闭，SQL Server 将终止运行。
